Freq.	V(vout)
9.99999999999995e+001	2.03025627876290e+000,-4.05936651891766e-004
1.02329299228075e+002	2.03025627672588e+000,-4.15392131052204e-004
1.04712854805089e+002	2.03025627459287e+000,-4.25067856605835e-004
1.07151930523760e+002	2.03025627235933e+000,-4.34968958749494e-004
1.09647819614318e+002	2.03025627002053e+000,-4.45100687177445e-004
1.12201845430196e+002	2.03025626757151e+000,-4.55468413865367e-004
1.14815362149688e+002	2.03025626500707e+000,-4.66077635917820e-004
1.17489755493952e+002	2.03025626232177e+000,-4.76933978483766e-004
1.20226443461741e+002	2.03025625950991e+000,-4.88043197738302e-004
1.23026877081237e+002	2.03025625656554e+000,-4.99411183934988e-004
1.25892541179416e+002	2.03025625348241e+000,-5.11043964529305e-004
1.28824955169313e+002	2.03025625025397e+000,-5.22947707373619e-004
1.31825673855640e+002	2.03025624687337e+000,-5.35128723988478e-004
1.34896288259165e+002	2.03025624333345e+000,-5.47593472908107e-004
1.38038426460288e+002	2.03025623962670e+000,-5.60348563105527e-004
1.41253754462275e+002	2.03025623574526e+000,-5.73400757495800e-004
1.44543977074592e+002	2.03025623168090e+000,-5.86756976523269e-004
1.47910838816820e+002	2.03025622742498e+000,-6.00424301829704e-004
1.51356124843620e+002	2.03025622296849e+000,-6.14409980008986e-004
1.54881661891247e+002	2.03025621830197e+000,-6.28721426450115e-004
1.58489319246110e+002	2.03025621341553e+000,-6.43366229268020e-004
1.62181009735892e+002	2.03025620829879e+000,-6.58352153328524e-004
1.65958690743755e+002	2.03025620294091e+000,-6.73687144362843e-004
1.69824365246173e+002	2.03025619733052e+000,-6.89379333182636e-004
1.73780082874936e+002	2.03025619145573e+000,-7.05437039990131e-004
1.77827941003891e+002	2.03025618530406e+000,-7.21868778789763e-004
1.81970085860997e+002	2.03025617886247e+000,-7.38683261902746e-004
